省,市,医院名称,地址,邮政编码,电话,院长,床位数,等级,日门诊量,特色专科
北京市,东城区,交通部北京交通医院,安定门内大街车辇店胡同15号,100009,010-64032255,张金山,110,二级,237,心脏内科、普外科、口腔、妇科、消化内科、眼科、心血管内科、前列腺病等
北京市,朝阳区,北京朝阳三环肿瘤医院,朝阳区十里河352号,100021,010-67315130,刘振平,260,二级,130,肿瘤放疗、化疗、介入、手术等
北京市,朝阳区,朝阳区八里庄医院,朝阳区八里庄延静西里11号楼,100025,010-65005221,于德利,100,二级,217,放射科、针灸科、精神病科等
北京市,西城区,西城区妇婴医院,西城区西外桃柳园巷甲5号,100044,010-68352227,边宝生,127,二级,367,妇产科等
北京市,西城区,北京市按摩医院,西城区宝产胡同7号,100035,010-66161230、66161064,胡向阳,100,二级,450,中医推拿
北京市,西城区,北京市展览路医院,西城区西外大街桃柳园南巷甲5号,100044,010-68313191,,120,二级,,
北京市,海淀区,海淀区中医院,海淀区双榆树西里12号,100086,010-62564032,潘苏彦,60,二级,291,内科、妇科、儿科、骨伤科、针灸科、按摩科
北京市,海淀区,北京大学医院,海淀区海淀路,100871,010-62752114,,156,二级,655,
北京市,海淀区,清华大学校医院,海淀清华院内,100084,010-62784634,郭院长,154,二级,713,
北京市,石景山区,中国中医研究院眼科医院,石景山区鲁谷路9号,100040,010-68684148,沙凤桐,100,二级,1000,中医、中西医结合眼科、视网膜色素病变、视神经萎缩、黄斑变性、白内障等
北京市,崇文区,崇文区第一人民医院,崇文区永外大街130号,100075,010-67222060、67212648,周延庆,140,二级,195,皮肤科、糖尿病科等
北京市,宣武区,宣武区广外医院,宣武区广外大街三义东里甲2号,100055,010-63644828、63647831,张洪生,110,二级,615,
北京市,宣武区,北京市监狱管理局清河农场医院,京山线茶淀站,100481,010-6966882,,200,二级,193,
北京市,丰台区,北京市北方车辆制造厂职工医院,丰台区朱家坟五里5号,100072,010-63887255-2445,季书菊,100,二级,408,消化内科、呼吸内科、肾内科、老年病科
北京市,丰台区,丰台区南苑医院,丰台区南苑公所胡同3号,100076,010-67991313、67992423,杨鹤平,250,二级,600,中医、心血管内科、内分泌、普外科
